account_id,county,gross_acres,exclusion_reason
1102099659,Frederick,77.75,largest_reachable_block_below_acreage_min_even_with_crossings
1102142481,Frederick,88.99,largest_reachable_block_below_acreage_min_even_with_crossings
1102133857,Frederick,42.89,largest_reachable_block_below_acreage_min_even_with_crossings
1102135264,Frederick,94.07,owner_type_government
1102166534,Frederick,183.27,owner_type_government
1102170760,Frederick,804.9,owner_type_government
1103124681,Frederick,105.77,largest_reachable_block_below_acreage_min_even_with_crossings
1103124908,Frederick,70.45,largest_reachable_block_below_acreage_min_even_with_crossings
1103126285,Frederick,81.98,largest_reachable_block_below_acreage_min_even_with_crossings
1103127788,Frederick,55.19,largest_reachable_block_below_acreage_min_even_with_crossings
1103128628,Frederick,43.04,largest_reachable_block_below_acreage_min_even_with_crossings
1103128849,Frederick,46.61,largest_reachable_block_below_acreage_min_even_with_crossings
1103129179,Frederick,95.78,largest_reachable_block_below_acreage_min_even_with_crossings
1103129268,Frederick,94.29,largest_reachable_block_below_acreage_min_even_with_crossings
1103129640,Frederick,47.25,largest_reachable_block_below_acreage_min_even_with_crossings
1103134113,Frederick,113.86,largest_reachable_block_below_acreage_min_even_with_crossings
1103136086,Frederick,56.44,largest_reachable_block_below_acreage_min_even_with_crossings
1103138429,Frederick,94.17,largest_reachable_block_below_acreage_min_even_with_crossings
1103142515,Frederick,43.71,largest_reachable_block_below_acreage_min_even_with_crossings
1103142612,Frederick,55.41,largest_reachable_block_below_acreage_min_even_with_crossings
1103127850,Frederick,180.33,largest_reachable_block_below_acreage_min_even_with_crossings
1103129683,Frederick,40.54,largest_reachable_block_below_acreage_min_even_with_crossings
1103129772,Frederick,93.9,largest_reachable_block_below_acreage_min_even_with_crossings
1103130487,Frederick,58.65,largest_reachable_block_below_acreage_min_even_with_crossings
1103133656,Frederick,188.31,largest_reachable_block_below_acreage_min_even_with_crossings
1103134768,Frederick,49.68,largest_reachable_block_below_acreage_min_even_with_crossings
1103147193,Frederick,51.27,largest_reachable_block_below_acreage_min_even_with_crossings
1103148130,Frederick,85.65,largest_reachable_block_below_acreage_min_even_with_crossings
1103148211,Frederick,42.61,largest_reachable_block_below_acreage_min_even_with_crossings
1103137732,Frederick,120.8,largest_reachable_block_below_acreage_min_even_with_crossings
1103137929,Frederick,41.08,largest_reachable_block_below_acreage_min_even_with_crossings
1103138100,Frederick,104.54,largest_reachable_block_below_acreage_min_even_with_crossings
1103140652,Frederick,44.19,largest_reachable_block_below_acreage_min_even_with_crossings
1103141691,Frederick,52.29,largest_reachable_block_below_acreage_min_even_with_crossings
1103144151,Frederick,158.26,largest_reachable_block_below_acreage_min_even_with_crossings
1103156672,Frederick,112.7,largest_reachable_block_below_acreage_min_even_with_crossings
1104151666,Frederick,63.25,largest_reachable_block_below_acreage_min_even_with_crossings
1104151674,Frederick,43.71,largest_reachable_block_below_acreage_min_even_with_crossings
1104152832,Frederick,83.63,largest_reachable_block_below_acreage_min_even_with_crossings
1104153685,Frederick,43.45,largest_reachable_block_below_acreage_min_even_with_crossings
1104154991,Frederick,40.26,largest_reachable_block_below_acreage_min_even_with_crossings
1104156579,Frederick,125.84,largest_reachable_block_below_acreage_min_even_with_crossings
1104157303,Frederick,40.54,largest_reachable_block_below_acreage_min_even_with_crossings
1105157269,Frederick,83.89,largest_reachable_block_below_acreage_min_even_with_crossings
1105157277,Frederick,54.47,largest_reachable_block_below_acreage_min_even_with_crossings
1105157560,Frederick,47.32,largest_reachable_block_below_acreage_min_even_with_crossings
1103148289,Frederick,115.96,largest_reachable_block_below_acreage_min_even_with_crossings
1103151298,Frederick,53.13,largest_reachable_block_below_acreage_min_even_with_crossings
1103154009,Frederick,40.42,largest_reachable_block_below_acreage_min_even_with_crossings
1103154939,Frederick,80.0,largest_reachable_block_below_acreage_min_even_with_crossings
1105158850,Frederick,45.15,largest_reachable_block_below_acreage_min_even_with_crossings
1105159318,Frederick,132.66,largest_reachable_block_below_acreage_min_even_with_crossings
1105160006,Frederick,84.56,largest_reachable_block_below_acreage_min_even_with_crossings
1105160294,Frederick,125.11,largest_reachable_block_below_acreage_min_even_with_crossings
1105161568,Frederick,53.42,largest_reachable_block_below_acreage_min_even_with_crossings
1105161797,Frederick,94.92,largest_reachable_block_below_acreage_min_even_with_crossings
1104151437,Frederick,129.09,largest_reachable_block_below_acreage_min_even_with_crossings
1104152212,Frederick,53.81,largest_reachable_block_below_acreage_min_even_with_crossings
1105162718,Frederick,99.88,largest_reachable_block_below_acreage_min_even_with_crossings
1105163676,Frederick,147.97,largest_reachable_block_below_acreage_min_even_with_crossings
1105163692,Frederick,49.22,largest_reachable_block_below_acreage_min_even_with_crossings
1105167469,Frederick,41.52,largest_reachable_block_below_acreage_min_even_with_crossings
1105168058,Frederick,75.04,largest_reachable_block_below_acreage_min_even_with_crossings
1105168325,Frederick,58.44,largest_reachable_block_below_acreage_min_even_with_crossings
1105170567,Frederick,87.28,largest_reachable_block_below_acreage_min_even_with_crossings
